iter	Passed	Remaining
0	32	32012
1	55	27717
2	79	26270
3	106	26406
4	132	26383
5	159	26372
6	185	26328
7	213	26454
8	241	26638
9	268	26607
10	302	27168
11	333	27461
12	363	27580
13	392	27609
14	430	28281
15	470	28932
16	513	29719
17	554	30261
18	587	30343
19	621	30474
20	651	30393
21	685	30482
22	715	30409
23	746	30359
24	776	30282
25	805	30181
26	836	30132
27	871	30241
28	900	30167
29	934	30223
30	967	30251
31	1000	30274
32	1033	30286
33	1065	30280
34	1100	30332
35	1134	30389
36	1172	30511
37	1212	30704
38	1248	30765
39	1283	30799
40	1318	30840
41	1357	30963
42	1391	30958
43	1425	30964
44	1463	31067
45	1499	31097
46	1533	31085
47	1568	31110
48	1604	31137
49	1639	31146
50	1675	31171
51	1712	31227
52	1760	31448
53	1801	31566
54	1838	31595
55	1877	31653
56	1918	31735
57	1962	31865
58	2000	31913
59	2037	31926
60	2076	31960
61	2114	31988
62	2152	32019
63	2189	32019
64	2225	32014
65	2263	32033
66	2297	31997
67	2338	32046
68	2375	32047
69	2414	32080
70	2453	32097
71	2492	32124
72	2527	32096
73	2564	32092
74	2602	32103
75	2643	32133
76	2682	32150
77	2721	32170
78	2757	32147
79	2791	32101
80	2824	32047
81	2860	32022
82	2896	31998
83	2928	31935
84	2958	31852
85	2995	31831
86	3031	31811
87	3063	31748
88	3098	31719
89	3133	31685
90	3169	31661
91	3205	31637
92	3240	31601
93	3273	31548
94	3308	31517
95	3345	31500
96	3379	31463
97	3415	31438
98	3449	31389
99	3484	31364
100	3519	31327
101	3554	31297
102	3591	31281
103	3632	31293
104	3670	31288
105	3703	31233
106	3738	31197
107	3776	31194
108	3811	31157
109	3849	31146
110	3884	31107
111	3918	31065
112	3952	31025
113	3985	30977
114	4022	30955
115	4053	30886
116	4087	30850
117	4126	30846
118	4160	30800
119	4190	30731
120	4225	30693
121	4256	30629
122	4289	30581
123	4324	30552
124	4359	30518
125	4393	30476
126	4426	30429
127	4461	30394
128	4496	30357
129	4528	30307
130	4565	30285
131	4600	30254
132	4634	30209
133	4667	30163
134	4702	30133
135	4740	30117
136	4770	30050
137	4801	29993
138	4833	29942
139	4866	29891
140	4899	29849
141	4933	29809
142	4966	29763
143	5000	29722
144	5033	29681
145	5067	29643
146	5102	29606
147	5134	29560
148	5167	29515
149	5200	29466
150	5232	29417
151	5266	29379
152	5300	29341
153	5334	29304
154	5367	29263
155	5402	29228
156	5434	29180
157	5468	29143
158	5501	29098
159	5534	29053
160	5569	29022
161	5600	28972
162	5638	28951
163	5671	28910
164	5703	28862
165	5737	28825
166	5772	28791
167	5806	28758
168	5840	28716
169	5873	28677
170	5906	28632
171	5934	28566
172	5969	28538
173	6003	28499
174	6036	28457
175	6069	28418
176	6101	28371
177	6134	28329
178	6167	28286
179	6199	28242
180	6234	28212
181	6268	28172
182	6302	28136
183	6336	28101
184	6367	28051
185	6401	28013
186	6435	27977
187	6468	27937
188	6500	27893
189	6533	27854
190	6568	27822
191	6601	27779
192	6634	27739
193	6665	27692
194	6697	27649
195	6729	27606
196	6761	27558
197	6790	27505
198	6824	27470
199	6857	27428
200	6886	27376
201	6922	27345
202	6953	27298
203	6982	27246
204	7015	27208
205	7051	27180
206	7087	27150
207	7118	27106
208	7153	27073
209	7185	27032
210	7215	26982
211	7250	26949
212	7285	26917
213	7322	26893
214	7352	26845
215	7384	26802
216	7418	26767
217	7449	26721
218	7483	26687
219	7515	26645
220	7546	26601
221	7574	26545
222	7607	26505
223	7639	26464
224	7673	26429
225	7706	26394
226	7739	26356
227	7776	26331
228	7810	26297
229	7846	26267
230	7878	26228
231	7913	26195
232	7947	26160
233	7981	26126
234	8013	26085
235	8042	26036
236	8077	26006
237	8114	25979
238	8148	25944
239	8183	25914
240	8216	25875
241	8246	25830
242	8280	25794
243	8315	25764
244	8349	25729
245	8381	25691
246	8414	25652
247	8446	25610
248	8478	25571
249	8512	25537
250	8542	25490
251	8579	25466
252	8609	25421
253	8642	25382
254	8673	25339
255	8708	25310
256	8744	25280
257	8774	25233
258	8808	25200
259	8846	25178
260	8885	25158
261	8963	25247
262	9001	25225
263	9039	25201
264	9073	25166
265	9109	25137
266	9140	25094
267	9170	25047
268	9201	25004
269	9236	24972
270	9272	24942
271	9305	24905
272	9335	24860
273	9368	24822
274	9402	24787
275	9437	24756
276	9470	24719
277	9500	24674
278	9529	24627
279	9562	24590
280	9592	24544
281	9623	24501
282	9657	24468
283	9691	24432
284	9721	24387
285	9753	24350
286	9789	24321
287	9826	24292
288	9864	24268
289	9899	24237
290	9936	24210
291	9974	24184
292	10013	24163
293	10041	24114
294	10073	24073
295	10110	24045
296	10141	24004
297	10173	23965
298	10203	23922
299	10242	23900
300	10272	23855
301	10303	23815
302	10337	23780
303	10373	23750
304	10409	23719
305	10440	23679
306	10473	23643
307	10508	23609
308	10544	23580
309	10581	23551
310	10620	23528
311	10655	23496
312	10687	23458
313	10725	23432
314	10763	23407
315	10801	23380
316	10835	23346
317	10875	23323
318	10909	23289
319	10941	23251
320	10976	23218
321	11009	23181
322	11048	23156
323	11081	23119
324	11122	23099
325	11159	23072
326	11191	23033
327	11227	23003
328	11263	22971
329	11306	22954
330	11394	23029
331	11434	23007
332	11471	22978
333	11506	22943
334	11539	22906
335	11570	22866
336	11605	22831
337	11640	22798
338	11672	22759
339	11709	22729
340	11747	22703
341	11784	22673
342	11819	22640
343	11850	22598
344	11881	22557
345	11913	22519
346	11947	22482
347	11977	22441
348	12010	22402
349	12047	22373
350	12079	22335
351	12111	22295
352	12143	22257
353	12176	22220
354	12210	22184
355	12243	22148
356	12280	22118
357	12317	22089
358	12354	22059
359	12395	22037
360	12428	21998
361	12467	21973
362	12499	21934
363	12532	21898
364	12566	21862
365	12599	21824
366	12637	21796
367	12671	21762
368	12707	21730
369	12744	21699
370	12776	21661
371	12809	21625
372	12840	21584
373	12874	21549
374	12908	21513
375	12938	21472
376	12974	21440
377	13008	21405
378	13036	21360
379	13070	21325
380	13101	21284
381	13137	21253
382	13166	21211
383	13205	21184
384	13238	21147
385	13274	21115
386	13312	21086
387	13348	21054
388	13383	21021
389	13415	20982
390	13447	20944
391	13475	20900
392	13513	20872
393	13546	20836
394	13576	20794
395	13610	20759
396	13647	20728
397	13681	20693
398	13712	20655
399	13746	20619
400	13781	20585
401	13861	20620
402	13896	20585
403	13930	20551
404	13968	20521
405	14003	20488
406	14036	20451
407	14077	20425
408	14109	20388
409	14147	20358
410	14184	20328
411	14221	20296
412	14257	20264
413	14293	20232
414	14329	20199
415	14365	20166
416	14401	20134
417	14432	20095
418	14468	20062
419	14502	20027
420	14538	19994
421	14574	19962
422	14606	19923
423	14643	19892
424	14678	19859
425	14715	19827
426	14746	19788
427	14781	19754
428	14816	19720
429	14852	19687
430	14887	19654
431	14921	19618
432	14954	19583
433	14989	19549
434	15025	19515
435	15058	19479
436	15095	19447
437	15129	19412
438	15164	19378
439	15198	19343
440	15231	19306
441	15264	19270
442	15302	19240
443	15336	19205
444	15373	19173
445	15409	19140
446	15443	19105
447	15477	19070
448	15515	19039
449	15547	19002
450	15584	18970
451	15622	18940
452	15658	18907
453	15690	18870
454	15724	18834
455	15757	18798
456	15786	18757
457	15818	18719
458	15850	18681
459	15883	18645
460	15917	18610
461	15946	18569
462	15979	18533
463	16008	18492
464	16040	18455
465	16076	18422
466	16112	18389
467	16146	18354
468	16179	18318
469	16213	18283
470	16247	18247
471	16282	18214
472	16318	18181
473	16347	18140
474	16378	18102
475	16413	18068
476	16446	18032
477	16474	17991
478	16503	17950
479	16540	17918
480	16575	17884
481	16606	17847
482	16643	17814
483	16676	17779
484	16719	17753
485	16751	17716
486	16788	17685
487	16825	17652
488	16860	17618
489	16896	17586
490	16933	17553
491	16963	17515
492	16997	17479
493	17031	17445
494	17066	17411
495	17098	17373
496	17131	17338
497	17165	17303
498	17200	17269
499	17238	17238
500	17273	17204
501	17310	17172
502	17346	17139
503	17381	17105
504	17418	17073
505	17455	17041
506	17491	17008
507	17529	16976
508	17560	16939
509	17592	16903
510	17628	16869
511	17666	16838
512	17705	16808
513	17741	16775
514	17776	16741
515	17809	16705
516	17841	16667
517	17876	16633
518	17908	16596
519	17942	16562
520	17971	16522
521	18007	16489
522	18040	16453
523	18079	16423
524	18116	16390
525	18150	16356
526	18184	16321
527	18219	16287
528	18250	16249
529	18288	16218
530	18323	16183
531	18353	16145
532	18389	16112
533	18423	16077
534	18459	16044
535	18494	16010
536	18532	15978
537	18564	15941
538	18598	15907
539	18633	15873
540	18668	15839
541	18706	15807
542	18740	15772
543	18776	15738
544	18817	15710
545	18852	15675
546	18889	15643
547	18928	15612
548	18961	15576
549	18996	15542
550	19034	15511
551	19083	15488
552	19136	15468
553	19175	15437
554	19216	15407
555	19256	15377
556	19293	15344
557	19332	15313
558	19365	15277
559	19398	15241
560	19429	15204
561	19464	15169
562	19500	15136
563	19534	15101
564	19570	15067
565	19609	15036
566	19642	15000
567	19676	14965
568	19710	14930
569	19746	14896
570	19786	14865
571	19825	14834
572	19858	14798
573	19892	14763
574	19929	14730
575	19960	14692
576	19991	14656
577	20027	14622
578	20067	14591
579	20105	14559
580	20144	14527
581	20183	14495
582	20220	14462
583	20258	14431
584	20296	14398
585	20333	14365
586	20372	14333
587	20410	14301
588	20450	14269
589	20487	14236
590	20527	14206
591	20566	14174
592	20606	14143
593	20638	14106
594	20671	14070
595	20704	14034
596	20740	14000
597	20815	13993
598	20859	13964
599	20900	13933
600	20939	13901
601	20974	13867
602	21008	13831
603	21050	13801
604	21091	13770
605	21127	13736
606	21167	13705
607	21208	13673
608	21244	13639
609	21279	13604
610	21315	13570
611	21354	13538
612	21390	13504
613	21428	13471
614	21470	13440
615	21511	13409
616	21548	13376
617	21589	13344
618	21628	13312
619	21668	13280
620	21715	13253
621	21758	13223
622	21795	13189
623	21837	13158
624	21877	13126
625	21917	13094
626	21956	13062
627	21990	13026
628	22026	12991
629	22063	12958
630	22101	12924
631	22137	12890
632	22174	12856
633	22208	12820
634	22241	12784
635	22281	12752
636	22313	12715
637	22349	12681
638	22384	12645
639	22418	12610
640	22467	12583
641	22510	12552
